P0,PB15
P1,PB14
P2,PB13
P3,PB12
P4,PB10
P5,PB11
P6,PA5
P7,PD12
P8,PD13
P9,PD14
P10,PD15
P11,PA13
P12,PA14
P13,PA0
P14,PA1
P15,PA2
P16,PA3
A0,PA0
A1,PA1
A2,PA2
A3,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
A8,PA8
A9,PA9
A10,PA10
A11,PA11
A12,PA12
A13,PA13
A14,PA14
A15,PA15
B0,PB0
B1,PB1
B2,PB2
B3,PB3
B4,PB4
B5,PB5
B6,PB6
B7,PB7
B8,PB8
B9,PB9
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C0,PC0
C1,PC1
C2,PC2
C3,PC3
C4,PC4
C5,PC5
C6,PC6
C7,PC7
C8,PC8
C9,PC9
C10,PC10
C11,PC11
C12,PC12
C13,PC13
C14,PC14
C15,PC15
D0,PD0
D1,PD1
D2,PD2
D3,PD3
D4,PD4
D5,PD5
D6,PD6
D7,PD7
D8,PD8
D9,PD9
D10,PD10
D11,PD11
D12,PD12
D13,PD13
D14,PD14
D15,PD15
E0,PE0
E1,PE1
E2,PE2
E3,PE3
E4,PE4
E5,PE5
E6,PE6
E7,PE7
E8,PE8
E9,PE9
E10,PE10
E11,PE11
E12,PE12
E13,PE13
E14,PE14
E15,PE15
H0,PH0
H1,PH1
H13,PH13
H14,PH14
J2,PJ2
I13,PI13
UART3_TX,PB10
UART3_RX,PB11
I2C4_SCL,PD12
I2C4_SDA,PD13
SPI2_NSS,PB4
SPI2_SCK,PD3
SPI2_MISO,PI2
SPI2_MOSI,PB15
CAN1_TX,PH13
CAN1_RX,PH14
CAN2_TX,PB13
CAN2_RX,PB5
SDCARD_CK,PC12
SDCARD_CMD,PD2
SDCARD_D0,PC8
SDCARD_D1,PC9
SDCARD_D2,PC10
SDCARD_D3,PC11
SDCARD_D4,PB8
SDCARD_D5,PB9
SDCARD_D6,PC6
SDCARD_D7,PC7
LED_GREEN,PJ2
LED_RED,PI13
SW,PC13
QSPI_CS,PB6
QSPI_SCK,PF10
QSPI_IO0,PD11
QSPI_IO1,PF9
QSPI_IO2,PF7
QSPI_IO3,PF6
TOUCH_INT,PG2
TOUCH_SCLK,PD12
TOUCH_SDA,PD13
